sender	patientType	scenario	demand
s067	c	n12	0
s067	n	n12	61
s068	c	n11	0
s068	n	n11	6
s068	c	n12	0
s068	n	n12	6
s068	c	n13	0
s068	n	n13	6
s068	c	n14	0
s068	n	n14	6
s068	c	n15	0
s068	n	n15	6
s068	c	n16	0
s068	n	n16	6
s069	c	n14	0
s069	n	n14	38
s069	c	n15	0
s069	n	n15	38
s069	c	n16	0
s069	n	n16	38
s069	c	n17	0
s069	n	n17	38
s069	c	n18	0
s069	n	n18	38
s069	c	n19	0
s069	n	n19	38
s069	c	n20	0
s069	n	n20	38
s069	c	n21	0
s069	n	n21	38
s069	c	n22	0
s069	n	n22	38
s069	c	n23	0
s069	n	n23	38
s069	c	n24	0
s069	n	n24	38
s069	c	n25	0
s069	n	n25	38
s070	c	n13	0
s070	n	n13	6
s070	c	n14	0
s070	n	n14	6
s070	c	n15	0
s070	n	n15	6
s071	c	n06	0
s071	n	n06	9
s071	c	n07	0
s071	n	n07	9
s071	c	n08	0
s071	n	n08	9
s071	c	n09	0
s071	n	n09	9
s071	c	n10	0
s071	n	n10	9
s071	c	n11	0
s071	n	n11	9
s071	c	n12	0
s071	n	n12	9
s071	c	n13	0
s071	n	n13	9
s071	c	n14	0
s071	n	n14	9
s071	c	n15	0
s071	n	n15	9
s071	c	n16	0
s071	n	n16	9
s072	c	n06	0
s072	n	n06	102
s072	c	n07	0
s072	n	n07	102
s072	c	n08	0
s072	n	n08	102
s072	c	n09	0
s072	n	n09	102
s072	c	n10	0
s072	n	n10	102
s072	c	n11	0
s072	n	n11	102
s072	c	n12	0
s072	n	n12	102
s072	c	n13	0
s072	n	n13	102
s072	c	n14	0
s072	n	n14	102
s072	c	n15	0
s072	n	n15	102
s072	c	n16	0
s072	n	n16	102
s073	c	n13	0
s073	n	n13	6
s073	c	n14	0
s073	n	n14	6
s073	c	n15	0
s073	n	n15	6
s073	c	n16	0
s073	n	n16	6
s074	c	n06	0
s074	n	n06	6
s074	c	n07	0
s074	n	n07	6
s074	c	n08	0
s074	n	n08	6
s074	c	n09	0
s074	n	n09	6
s074	c	n10	0
s074	n	n10	6
s074	c	n11	0
s074	n	n11	6
s074	c	n12	0
s074	n	n12	6
s074	c	n13	0
s074	n	n13	6
s074	c	n14	0
s074	n	n14	6
s074	c	n15	0
s074	n	n15	6
s075	c	n06	0
s075	n	n06	59
s075	c	n07	0
s075	n	n07	59
s075	c	n08	0
s075	n	n08	59
s075	c	n09	0
s075	n	n09	59
s075	c	n10	0
s075	n	n10	59
s075	c	n11	0
s075	n	n11	59
s075	c	n12	0
s075	n	n12	59
s075	c	n13	0
s075	n	n13	59
s075	c	n14	0
s075	n	n14	59
s075	c	n15	0
s075	n	n15	59
s075	c	n16	0
s075	n	n16	59
s076	c	n06	0
s076	n	n06	65
s076	c	n07	0
s076	n	n07	65
s076	c	n08	0
s076	n	n08	65
s076	c	n09	0
s076	n	n09	65
s076	c	n10	0
s076	n	n10	65
s076	c	n11	0
s076	n	n11	65
s076	c	n12	0
s076	n	n12	65
s076	c	n13	0
s076	n	n13	65
s076	c	n14	0
s076	n	n14	65
s076	c	n15	0
s076	n	n15	65
s076	c	n16	0
s076	n	n16	65
s077	c	n01	0
s077	n	n01	73
s077	c	n02	0
s077	n	n02	73
s077	c	n03	0
s077	n	n03	73
s077	c	n04	0
s077	n	n04	73
s077	c	n05	0
s077	n	n05	73
s077	c	n06	0
s077	n	n06	73
s077	c	n07	0
s077	n	n07	73
s077	c	n08	0
s077	n	n08	73
s077	c	n09	0
s077	n	n09	73
s077	c	n10	0
s077	n	n10	73
s077	c	n11	0
s077	n	n11	73
s077	c	n12	0
s077	n	n12	73
s077	c	n13	0
s077	n	n13	73
s077	c	n14	0
s077	n	n14	73
s077	c	n15	0
s077	n	n15	73
s077	c	n16	0
s077	n	n16	73
s077	c	n17	0
s077	n	n17	73
s077	c	n18	0
s077	n	n18	73
s077	c	n19	0
s077	n	n19	73
s077	c	n20	0
s077	n	n20	73
s077	c	n21	0
s077	n	n21	73
s077	c	n22	0
s077	n	n22	73
s077	c	n23	0
s077	n	n23	73
s077	c	n24	0
s077	n	n24	73
s077	c	n25	0
s077	n	n25	73
s078	c	n06	0
s078	n	n06	6
s078	c	n07	0
s078	n	n07	6
s078	c	n08	0
s078	n	n08	6
s078	c	n09	0
s078	n	n09	6
s078	c	n10	0
s078	n	n10	6
s078	c	n11	0
s078	n	n11	6
s078	c	n12	0
s078	n	n12	6
s078	c	n13	0
s078	n	n13	6
s078	c	n14	0
s078	n	n14	6
s078	c	n15	0
s078	n	n15	6
s078	c	n16	0
s078	n	n16	6
s078	c	n17	0
s078	n	n17	6
s078	c	n18	0
s078	n	n18	6
s078	c	n19	0
s078	n	n19	6
s078	c	n20	0
s078	n	n20	6
s079	c	n08	0
s079	n	n08	6
s079	c	n09	0
s079	n	n09	6
s079	c	n10	0
s079	n	n10	6
s079	c	n11	0
s079	n	n11	6
s079	c	n12	0
s079	n	n12	6
s079	c	n13	0
s079	n	n13	6
s079	c	n14	0
s079	n	n14	6
s079	c	n15	0
s079	n	n15	6
s079	c	n16	0
s079	n	n16	6
s080	c	n06	0
s080	n	n06	76
s080	c	n07	0
s080	n	n07	76
s080	c	n08	0
s080	n	n08	76
s080	c	n09	0
s080	n	n09	76
s080	c	n10	0
s080	n	n10	76
s080	c	n11	0
s080	n	n11	76
s080	c	n12	0
s080	n	n12	76
s080	c	n13	0
s080	n	n13	76
s080	c	n14	0
s080	n	n14	76
s080	c	n15	0
s080	n	n15	76
s080	c	n16	0
s080	n	n16	76
s080	c	n17	0
s080	n	n17	76
s080	c	n18	0
s080	n	n18	76
s081	c	n06	0
s081	n	n06	6
s081	c	n07	0
s081	n	n07	6
s081	c	n08	0
s081	n	n08	6
s081	c	n09	0
s081	n	n09	6
s081	c	n10	0
s081	n	n10	6
s081	c	n11	0
s081	n	n11	6
s081	c	n12	0
s081	n	n12	6
s081	c	n13	0
s081	n	n13	6
s081	c	n14	0
s081	n	n14	6
s081	c	n15	0
s081	n	n15	6
s081	c	n16	0
s081	n	n16	6
s082	c	n15	0
s082	n	n15	5
s083	c	n13	0
s083	n	n13	10
s083	c	n14	0
s083	n	n14	10
s083	c	n15	0
s083	n	n15	10
s083	c	n16	0
s083	n	n16	10
s084	c	n06	0
s084	n	n06	6
s084	c	n07	0
s084	n	n07	6
s084	c	n08	0
s084	n	n08	6
s084	c	n09	0
s084	n	n09	6
s084	c	n10	0
s084	n	n10	6
s084	c	n11	0
s084	n	n11	6
s084	c	n12	0
s084	n	n12	6
s084	c	n13	0
s084	n	n13	6
s084	c	n14	0
s084	n	n14	6
s084	c	n15	0
s084	n	n15	6
s085	c	n06	0
s085	n	n06	4
s085	c	n07	0
s085	n	n07	4
s085	c	n08	0
s085	n	n08	4
s085	c	n09	0
s085	n	n09	4
s085	c	n10	0
s085	n	n10	4
s085	c	n11	0
s085	n	n11	4
s085	c	n12	0
s085	n	n12	4
s085	c	n13	0
s085	n	n13	4
s085	c	n14	0
s085	n	n14	4
s086	c	n06	0
s086	n	n06	47
s086	c	n07	0
s086	n	n07	47
s086	c	n08	0
s086	n	n08	47
s086	c	n09	0
s086	n	n09	47
s086	c	n10	0
s086	n	n10	47
s086	c	n11	0
s086	n	n11	47
s086	c	n12	0
s086	n	n12	47
s086	c	n13	0
s086	n	n13	47
s086	c	n14	0
s086	n	n14	47
s086	c	n15	0
s086	n	n15	47
s086	c	n16	0
s086	n	n16	47
s087	c	n04	0
s087	n	n04	29
s087	c	n05	0
s087	n	n05	29
s087	c	n06	0
s087	n	n06	29
s087	c	n07	0
s087	n	n07	29
s087	c	n08	0
s087	n	n08	29
s087	c	n09	0
s087	n	n09	29
s087	c	n10	0
s087	n	n10	29
s087	c	n11	0
s087	n	n11	29
s087	c	n12	0
s087	n	n12	29
s087	c	n13	0
s087	n	n13	29
s087	c	n14	0
s087	n	n14	29
s087	c	n15	0
s087	n	n15	29
s087	c	n16	0
s087	n	n16	29
s087	c	n17	0
s087	n	n17	29
