stagingArea	sender	vehicleType	c_ijv
a3	s189	v00	98
a3	s189	v20	190
a3	s190	v00	278
a3	s190	v20	538
a3	s192	v00	101
a3	s192	v20	196
a3	s195	v00	33
a3	s195	v20	64
a3	s196	v00	156
a3	s196	v20	301
a3	s204	v00	199
a3	s204	v20	385
a3	s205	v00	68
a3	s205	v20	132
a3	s207	v00	172
a3	s207	v20	334
a3	s209	v00	253
a3	s209	v20	490
a3	s210	v00	211
a3	s210	v20	409
a3	s213	v00	892
a3	s213	v20	1725
a3	s214	v00	892
a3	s214	v20	1726
a3	s215	v00	427
a3	s215	v20	826
a3	s216	v00	432
a3	s216	v20	836
a3	s217	v00	563
a3	s217	v20	1088
a3	s218	v00	394
a3	s218	v20	763
a3	s219	v00	562
a3	s219	v20	1088
a3	s220	v00	397
a3	s220	v20	768
a3	s221	v00	442
a3	s221	v20	856
a3	s222	v00	397
a3	s222	v20	767
a3	s223	v00	509
a3	s223	v20	985
a3	s224	v00	397
a3	s224	v20	768
a3	s225	v00	443
a3	s225	v20	856
a3	s226	v00	399
a3	s226	v20	772
a3	s227	v00	431
a3	s227	v20	833
a3	s228	v00	401
a3	s228	v20	776
a3	s229	v00	396
a3	s229	v20	767
a3	s230	v00	562
a3	s230	v20	1088
a3	s231	v00	388
a3	s231	v20	750
a3	s232	v00	653
a3	s232	v20	1262
a3	s233	v00	660
a3	s233	v20	1276
a3	s234	v00	646
a3	s234	v20	1250
a3	s238	v00	643
a3	s238	v20	1243
a3	s244	v00	766
a3	s244	v20	1482
a3	s247	v00	361
a3	s247	v20	699
a3	s249	v00	766
a3	s249	v20	1481
a3	s252	v00	373
a3	s252	v20	721
a3	s254	v00	316
a3	s254	v20	611
a3	s256	v00	798
a3	s256	v20	1543
a3	s257	v00	412
a3	s257	v20	798
a3	s264	v00	620
a3	s264	v20	1199
a3	s266	v00	309
a3	s266	v20	597
a3	s268	v00	528
a3	s268	v20	1022
a3	s271	v00	591
a3	s271	v20	1143
a3	s272	v00	691
a3	s272	v20	1336
a3	s278	v00	869
a3	s278	v20	1680
a3	s289	v00	889
a3	s289	v20	1719
a3	s291	v00	890
a3	s291	v20	1721
a3	s293	v00	879
a3	s293	v20	1701
a3	s296	v00	890
a3	s296	v20	1721
a3	s302	v00	544
a3	s302	v20	1052
a3	s303	v00	543
a3	s303	v20	1051
a3	s305	v00	1472
a3	s305	v20	2847
a3	s306	v00	1548
a3	s306	v20	2994
a3	s307	v00	1492
a3	s307	v20	2885
a3	s308	v00	1487
a3	s308	v20	2876
a3	s309	v00	1399
a3	s309	v20	2705
a3	s310	v00	1344
a3	s310	v20	2598
a3	s311	v00	1469
a3	s311	v20	2840
a3	s312	v00	1548
a3	s312	v20	2994
a3	s313	v00	789
a3	s313	v20	1525
a4	s001	v00	1386
a4	s001	v20	2680
a4	s002	v00	1384
a4	s002	v20	2677
a4	s003	v00	1326
a4	s003	v20	2565
a4	s004	v00	1381
a4	s004	v20	2670
a4	s005	v00	1464
