,staging,sender,receiver,staging1,vehicleType,patientType,scenario,value
506,a1,s207,r310,a1,v00,n,n07,2
507,a1,s030,r028,a1,v00,c,n07,2
508,a1,s030,r028,a1,v00,n,n07,17
509,a1,s036,r061,a1,v00,c,n07,2
510,a1,s036,r061,a1,v00,n,n07,17
511,a1,s209,r211,a1,v00,n,n07,17
512,a1,s094,r294,a1,v00,n,n07,10
513,a1,s103,r310,a1,v00,n,n07,10
514,a1,s123,r364,a1,v00,n,n07,10
515,a1,s154,r176,a1,v00,n,n07,10
516,a1,s192,r386,a1,v00,n,n07,10
517,a1,s247,r238,a1,v00,n,n07,10
518,a1,s271,r444,a1,v00,n,n07,10
519,a1,s293,r338,a1,v00,n,n07,10
520,a1,s064,r152,a1,v00,n,n07,9
521,a1,s071,r337,a1,v00,n,n07,9
522,a1,s089,r242,a1,v00,n,n07,8
523,a1,s118,r194,a1,v00,n,n07,8
524,a1,s135,r227,a1,v00,n,n07,8
525,a1,s147,r372,a1,v00,n,n07,8
526,a1,s169,r266,a1,v00,n,n07,8
527,a1,s187,r293,a1,v00,n,n07,8
528,a1,s205,r399,a1,v00,n,n07,8
529,a1,s221,r416,a1,v00,n,n07,8
530,a1,s155,r387,a1,v00,n,n07,7
531,a1,s074,r174,a1,v00,n,n07,6
532,a1,s078,r139,a1,v00,n,n07,6
533,a1,s081,r168,a1,v00,n,n07,6
534,a1,s084,r327,a1,v00,n,n07,6
535,a1,s095,r322,a1,v00,n,n07,6
536,a1,s097,r285,a1,v00,n,n07,6
537,a1,s100,r312,a1,v00,n,n07,6
538,a1,s102,r196,a1,v00,n,n07,6
539,a1,s145,r379,a1,v00,n,n07,6
540,a1,s160,r243,a1,v00,n,n07,6
541,a1,s173,r299,a1,v00,n,n07,6
542,a1,s189,r339,a1,v00,n,n07,6
543,a1,s190,r372,a1,v00,n,n07,6
544,a1,s264,r265,a1,v00,n,n07,6
545,a1,s119,r234,a1,v00,n,n07,5
546,a1,s141,r297,a1,v00,n,n07,5
547,a1,s149,r285,a1,v00,n,n07,5
548,a1,s164,r219,a1,v00,n,n07,5
549,a1,s171,r266,a1,v00,n,n07,5
550,a1,s183,r399,a1,v00,n,n07,5
551,a1,s225,r416,a1,v00,n,n07,5
552,a1,s001,r033,a1,v00,n,n07,4
553,a1,s004,r033,a1,v00,n,n07,4
554,a1,s085,r337,a1,v00,n,n07,4
